task_id,raw_response_RMS,corrected_response_RMS,before_loss,raw_loss_delta,corrected_loss_delta,first_order_raw,first_order_algebra_corrected,first_order_applied,scope,position,epoch,index
O1_s61_DPR_U,0.10319781820288433,0.10096470855374261,0.27608107915774227,-0.002709128155249152,-0.0031203917669700987,-0.023051087459174318,-0.023051087459174315,-0.023051089776136586,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O2_s61_RESPONSE_U,0.06959843691273884,0.06330754754100493,0.2291911951957723,-0.008917692692082924,-0.009600853808846066,-0.013450612342918469,-0.013567596313899295,-0.013567601944916142,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s61_RESPONSE_U,0.042322807910368375,0.03715328625884325,0.19636913527593403,-0.004372705568717605,-0.004133005233860065,-0.004806182075446545,-0.004547795316049601,-0.004547789775711379,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s61_RESPONSE_U,0.03687167220445701,0.036850890486329696,0.3006393243551631,-0.008305120974823332,-0.008287511045380003,-0.008577493835287737,-0.00856081749538964,-0.008560822180997525,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s61_DPR_L,0.09449177031221094,0.09385263755861249,0.3233776990251308,-0.02572432006444314,-0.02579535030218255,-0.03196990871976647,-0.03196990871976647,-0.03196991598913712,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s61_DPR_L,0.03556238083895081,0.03560897509270051,0.2087535755829959,-0.002612102760874979,-0.002596338792609343,-0.0034582107774943473,-0.0034582107774943473,-0.003458211103313125,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s61_DPR_L,0.04981678578916783,0.048435021703702494,0.2342603675508812,-0.014367763658603039,-0.014324430288843115,-0.015268969605858143,-0.015268969605858138,-0.01526896541283351,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s61_DPR_L,0.04946320923472391,0.050294322338509945,0.2602418771098491,-0.012028205013527804,-0.012051528006224776,-0.013582316940847602,-0.013582316940847598,-0.013582313988773095,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O1_s62_DPR_U,0.04931560588621669,0.044347183846283306,0.3688045049114259,-0.02186997743657937,-0.02205035673925637,-0.02401440897919621,-0.02401440897919621,-0.024014460705826052,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s62_DPR_U,0.07305511942407432,0.05318388009845118,0.27827832730683594,-0.0046573335739081845,-0.0047835703239337835,-0.004903907705669237,-0.0049039077056692365,-0.0049039101266820755,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s62_DPR_U,0.015170297816264314,0.014914117322375312,0.24459849266438444,-0.006708949468984982,-0.00671555885505698,-0.0073388190203553146,-0.0073388190203553146,-0.007338854468190286,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s62_RESPONSE_U,0.031850939311065106,0.030528290025528378,0.36466079535439555,-0.015257463329934273,-0.015596519787748842,-0.015781284115846384,-0.016101568481661183,-0.01610156672202494,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s62_RESPONSE_U,0.04785887662390062,0.04188788621057397,0.2574484855307211,0.001042975901028198,0.0009293844411296659,0.0005531119923568778,0.0004533344644695632,0.0004533377049166096,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s62_RESPONSE_U,0.015207084294497004,0.014998469258203561,0.22374598673745183,-0.004249275525971763,-0.004230933397605496,-0.00469070798457021,-0.004662728981919142,-0.004662722220387714,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s62_DPR_L,0.06589190012077233,0.06260523752336089,0.38140268798017923,-0.02387372919200781,-0.02419934099559623,-0.025997618555150766,-0.025997618555150762,-0.02599763364322158,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s62_DPR_L,0.034667133562104595,0.027102563283205358,0.2510383370920102,-0.0031025782380078026,-0.0031776160290293287,-0.003574085065914197,-0.0035740850659141976,-0.0035740873214779156,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s62_DPR_L,0.052394623273997874,0.051528178219423,0.2531887108339984,-0.007037795948391712,-0.007071418143571262,-0.0076871602758111605,-0.00768716027581116,-0.007687161155798657,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O2_s62_DPR_U,0.08147329798603328,0.08037814094209816,0.25196591349828085,-0.009734558737860777,-0.009676882565356038,-0.012015465597569781,-0.012015465597569781,-0.012015462426690094,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s62_DPR_U,0.03905438569786893,0.03845478885094083,0.35270669743496885,-0.009696295195318616,-0.009653292021803983,-0.010697289413064973,-0.010697289413064973,-0.010697289248065704,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s62_DPR_U,0.033701102715601165,0.03312014029546179,0.20178297091487346,-0.0017336476696738212,-0.0017309216297708985,-0.001840819632722732,-0.0018408196327227315,-0.0018408070100746248,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s62_DPR_U,0.041196461808895864,0.040833587189597564,0.17129700267388864,-0.0017980909701252878,-0.001814299508258066,-0.0020564406108954255,-0.002056440610895426,-0.002056443814727717,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s62_RESPONSE_U,0.0637104570739413,0.06375554994563307,0.3066326381262346,-0.02050217674707039,-0.020594439021175137,-0.023848334691856675,-0.023956349580343803,-0.023956355961538094,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s62_RESPONSE_U,0.06537920688658203,0.05996135036146148,0.38067783201113936,-0.012437983569346334,-0.01209512769515625,-0.014532336140943368,-0.014134716535737557,-0.014134717060546335,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s62_RESPONSE_U,0.03238713898455451,0.02830869327613839,0.22002623582484393,-0.002665906757390313,-0.00211146773307469,-0.002914164369692087,-0.0023210135876634177,-0.002321044128700048,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s62_RESPONSE_U,0.021886685269645722,0.020188496786255086,0.18762949964826703,-0.0025777455122685256,-0.0025423510933123006,-0.0026865862839020776,-0.002651021101646673,-0.0026510181218533705,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s62_DPR_L,0.08336989611958953,0.08024815704606857,0.3047080802800777,-0.015359601901327458,-0.015348058624883143,-0.018447491166613973,-0.018447491166613973,-0.01844750438345672,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s62_DPR_L,0.04334452432430302,0.04352513295370486,0.41527059181020737,-0.014518133064871763,-0.01448202211513272,-0.01646194272447684,-0.01646194272447684,-0.016461947490518405,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s62_DPR_L,0.03764342223247749,0.03174736281419342,0.1951981703005714,0.0016908288724724052,0.0015076000819076452,0.00111157707295645,0.0011115770729564498,0.0011115737410982943,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s62_DPR_L,0.02728583652591921,0.02752692585116604,0.16663137228695396,-0.0019680960130384895,-0.0019650299717601794,-0.0021623926139381884,-0.0021623926139381884,-0.0021623986586234573,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O1_s63_DPR_U,0.09826279057723263,0.09702267159676455,0.29650021687378686,-0.027352513755886654,-0.027356265540761537,-0.02986523532037061,-0.029865235320370602,-0.02986524539340697,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s63_DPR_U,0.09890387521334006,0.09551210523601467,0.2336140782645817,-0.008239991860868323,-0.008192252798938982,-0.009659776603954994,-0.009659776603954992,-0.009659776050913432,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s63_DPR_U,0.05208603251227686,0.04770149853331436,0.13934983547250557,-0.0005280073815814301,-0.0005646390115863764,-0.0007404027758923806,-0.0007404027758923805,-0.0007404130316696694,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s63_RESPONSE_U,0.1007518476118302,0.10074234204379982,0.2664409798030443,-0.020597925454103994,-0.02057436234583726,-0.0223391385633818,-0.022311745183166278,-0.022311757261839822,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s63_RESPONSE_U,0.10536914345177893,0.10158285297645571,0.23815984118213784,-0.015869883175848865,-0.015884558154261763,-0.020221899675820592,-0.020234320110183224,-0.020234313284795004,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s63_RESPONSE_U,0.048226484342930885,0.043262025293605046,0.14206117581319067,-0.0016484462606086714,-0.0011187928954484172,-0.0019391810851985178,-0.0012700660310727848,-0.0012700643917647708,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O1_s63_DPR_L,0.09577072141859524,0.09795443173360342,0.2888321210932146,-0.022678109671208924,-0.022542929650157417,-0.02396122335136841,-0.023961223351368407,-0.02396123128091241,same current training tensors; descriptive only; no accept/reject or tuning,820,40,0
O1_s63_DPR_L,0.07727250539154316,0.0770585861695872,0.2579039643273583,-0.02000272621659821,-0.020136856800237912,-0.02437303075549946,-0.02437303075549945,-0.024373051892607217,same current training tensors; descriptive only; no accept/reject or tuning,1320,63,17
O1_s63_DPR_L,0.0292302230684076,0.029223778366628136,0.14011559158059267,-0.0010046749140514843,-0.0010061164497068842,-0.0011248051134886271,-0.001124805113488627,-0.001124804302331308,same current training tensors; descriptive only; no accept/reject or tuning,1820,87,13
O2_s63_DPR_U,0.10007445724314229,0.10021149116026769,0.41115729629879616,-0.006890575176628944,-0.006914502594495109,-0.009368174330003715,-0.009368174330003715,-0.00936817722472903,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s63_DPR_U,0.11673724076235653,0.09373098539497672,0.37782113259209504,-0.016028082974255786,-0.01700231537567154,-0.021038338608182182,-0.02103833860818218,-0.021038343712501177,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s63_DPR_U,0.11232182761396495,0.11229588017645879,0.24346582547802004,-0.0025187212585664476,-0.002477449596276826,-0.0036206512053200313,-0.003620651205320031,-0.0036206462270851987,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s63_DPR_U,0.03947722012386079,0.035351279049940426,0.15005268967069585,-0.0009276973556487933,-0.0009481128644057701,-0.0011915052647134858,-0.001191505264713486,-0.0011915059675049436,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s63_RESPONSE_U,0.1079753709698888,0.09816950943937608,0.44506164582241414,-0.009164753263825431,-0.009140192531756075,-0.010505794922907288,-0.010334144288897286,-0.010334137847304222,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s63_RESPONSE_U,0.16088620795701455,0.14338009385130135,0.4545747149621989,-0.018217937670551188,-0.015901409828369184,-0.037908537978890405,-0.03270493361527197,-0.03270494429603576,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s63_RESPONSE_U,0.19986462190721033,0.18856595383681077,0.28330041129977734,0.007517901499440982,0.010662489794201757,0.005288748654850914,0.008790374967668853,0.008790382994855756,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s63_RESPONSE_U,0.037372160137271696,0.0344230677269352,0.14641393033725048,-0.001148512576028382,-0.0010975486659391964,-0.0013517586290850046,-0.001287885869240996,-0.0012878854252694354,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
O2_s63_DPR_L,0.11543403357720085,0.10403075270081576,0.39919728479321304,-0.0022812736415104284,-0.0031971809139724194,-0.00670382513072857,-0.00670382513072857,-0.006703826510684454,same current training tensors; descriptive only; no accept/reject or tuning,1249,40,0
O2_s63_DPR_L,0.10364433388386986,0.09546466567645322,0.41831229125043173,-0.011126968264476234,-0.011703839013315787,-0.017242655698829785,-0.01724265569882978,-0.017242662454270925,same current training tensors; descriptive only; no accept/reject or tuning,1749,55,20
O2_s63_DPR_L,0.08971537957306386,0.08361296039735802,0.28631237795310005,-0.004975066241052706,-0.005070947015267557,-0.006200962021677742,-0.006200962021677743,-0.006200963303978755,same current training tensors; descriptive only; no accept/reject or tuning,2249,71,8
O2_s63_DPR_L,0.048702996493239836,0.033014873128234284,0.14568770956382043,-0.0004347848963176526,-0.0006495707328902367,-0.0008812307250279098,-0.0008812307250279097,-0.0008812362133038046,same current training tensors; descriptive only; no accept/reject or tuning,2749,86,28
