audit_error,case_id,center_crop_retention,dataset,foreground_pixels,grayscale_mask,image_mode,image_path_raw,image_shape,label_path_raw,mask_mode,mask_shape,mask_values_raw,patient_id,qc_status,site,source_partition,symmetric_padding
,REFUGE_test_n0032,1.0,fundus,629557,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0032.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0032.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0032,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0045,1.0,fundus,625195,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0045.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0045.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0045,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0050,1.0,fundus,609904,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0050.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0050.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0050,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0054,1.0,fundus,607654,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0054.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0054.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0054,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0055,1.0,fundus,623122,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0055.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0055.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0055,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0056,1.0,fundus,623587,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0056.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0056.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0056,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0064,1.0,fundus,624950,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0064.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0064.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0064,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0069,1.0,fundus,627346,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0069.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0069.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0069,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0072,1.0,fundus,619650,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0072.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0072.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0072,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0077,1.0,fundus,623114,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0077.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0077.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0077,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0087,1.0,fundus,619483,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0087.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0087.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0087,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0097,1.0,fundus,630414,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0097.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0097.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0097,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0098,1.0,fundus,628600,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0098.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0098.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0098,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0101,1.0,fundus,614804,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0101.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0101.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0101,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0107,1.0,fundus,627602,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0107.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0107.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0107,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0128,1.0,fundus,623162,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0128.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0128.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0128,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0133,1.0,fundus,624086,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0133.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0133.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0133,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0136,1.0,fundus,625952,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0136.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0136.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0136,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0137,1.0,fundus,626944,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0137.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0137.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0137,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0138,1.0,fundus,623921,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0138.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0138.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0138,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0139,1.0,fundus,617284,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0139.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0139.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0139,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0140,1.0,fundus,615497,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0140.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0140.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0140,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0144,1.0,fundus,630166,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0144.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0144.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0144,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0147,1.0,fundus,624127,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0147.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0147.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0147,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0154,1.0,fundus,626023,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0154.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0154.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0154,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0159,1.0,fundus,633072,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0159.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0159.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0159,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0170,1.0,fundus,622735,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0170.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0170.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0170,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0176,1.0,fundus,627616,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0176.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0176.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0176,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0177,1.0,fundus,629304,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0177.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0177.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0177,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0184,1.0,fundus,623188,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0184.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0184.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0184,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0197,1.0,fundus,622854,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0197.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0197.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0197,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0199,1.0,fundus,621169,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0199.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0199.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0199,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0200,1.0,fundus,623527,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0200.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0200.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0200,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0207,1.0,fundus,623588,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0207.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0207.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0207,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0211,1.0,fundus,622863,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0211.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0211.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0211,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0222,1.0,fundus,615534,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0222.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0222.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0222,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0228,1.0,fundus,624571,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0228.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0228.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0228,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0241,1.0,fundus,618913,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0241.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0241.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0241,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0243,1.0,fundus,624530,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0243.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0243.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0243,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0250,1.0,fundus,621642,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0250.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0250.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0250,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0254,1.0,fundus,619180,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0254.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0254.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0254,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0266,1.0,fundus,625281,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0266.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0266.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0266,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0268,1.0,fundus,626043,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0268.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0268.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0268,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0275,1.0,fundus,621800,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0275.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0275.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0275,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0277,1.0,fundus,620589,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0277.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0277.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0277,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0278,1.0,fundus,618127,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0278.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0278.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0278,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0284,1.0,fundus,612807,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0284.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0284.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0284,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0288,1.0,fundus,616933,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0288.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0288.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0288,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0291,1.0,fundus,628516,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0291.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0291.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0291,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0293,1.0,fundus,622339,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0293.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0293.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0293,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0294,1.0,fundus,619368,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0294.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0294.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0294,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0300,1.0,fundus,627754,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0300.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0300.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0300,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0301,1.0,fundus,624949,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0301.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0301.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0301,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0305,1.0,fundus,623895,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0305.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0305.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0305,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0310,1.0,fundus,624325,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0310.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0310.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0310,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0312,1.0,fundus,623089,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0312.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0312.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0312,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0313,1.0,fundus,618755,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0313.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0313.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0313,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0314,1.0,fundus,625938,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0314.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0314.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0314,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0316,1.0,fundus,616713,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0316.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0316.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0316,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0318,1.0,fundus,623174,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0318.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0318.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0318,pass,REFUGE,test,"[0, 0, 0, 0]"
,REFUGE_test_n0326,1.0,fundus,621267,True,RGB,/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/image/n0326.png,"[800, 800, 3]",/Volumes/DataP/CL_medical_classification/Fundus/REFUGE/test/mask/n0326.png,RGB,"[800, 800, 3]","[0, 128, 255]",REFUGE_test_n0326,pass,REFUGE,test,"[0, 0, 0, 0]"
