question,gate,value,threshold,pass_gate
candidate_C,stage1_cup_dice_vs_S,0.009645978191824334,-0.02,True
candidate_C,stage2_macro_fg_dice_vs_S,-0.14885846548798998,-0.01,False
candidate_C,stage2_rim_dice_vs_S,-0.12874616142667117,-0.02,False
candidate_C,stage2_cup_dice_vs_S,-0.1689707695493089,-0.02,False
candidate_D,F_vs_S,0.1321322537898748,0.01,True
candidate_D,stage1_macro_fg_dice_vs_S,0.02557017029831954,-0.01,True
candidate_D,stage1_rim_dice_vs_S,0.022767457834941718,-0.02,True
candidate_D,stage1_cup_dice_vs_S,0.02837288276169725,-0.02,True
candidate_D,stage2_macro_fg_dice_vs_S,-0.037446892926373376,-0.01,False
candidate_D,stage2_rim_dice_vs_S,0.03571681118538872,-0.02,True
candidate_D,stage2_cup_dice_vs_S,-0.11061059703813536,-0.02,False
candidate_U0,F_vs_S,0.09082693866895897,0.01,True
candidate_U0,stage1_macro_fg_dice_vs_S,0.017891078239122726,-0.01,True
candidate_U0,stage1_rim_dice_vs_S,0.005565961225327709,-0.02,True
candidate_U0,stage1_cup_dice_vs_S,0.030216195252917633,-0.02,True
candidate_U0,stage2_macro_fg_dice_vs_S,-0.07269734888742019,-0.01,False
candidate_U0,stage2_rim_dice_vs_S,-0.05410830363539887,-0.02,False
candidate_U0,stage2_cup_dice_vs_S,-0.0912863941394415,-0.02,False
candidate_L05,F_vs_S,0.034475184549557336,0.01,True
candidate_L05,stage1_macro_fg_dice_vs_S,0.011963483301805744,-0.01,True
candidate_L05,stage1_rim_dice_vs_S,0.00631823615919791,-0.02,True
candidate_L05,stage1_cup_dice_vs_S,0.01760873044441369,-0.02,True
candidate_L05,stage2_macro_fg_dice_vs_S,0.02295566427300244,-0.01,True
candidate_L05,stage2_rim_dice_vs_S,0.02690321117981842,-0.02,True
candidate_L05,stage2_cup_dice_vs_S,0.019008117366186128,-0.02,True
candidate_L10,F_vs_S,-0.014655530731324862,0.01,False
candidate_L10,stage1_macro_fg_dice_vs_S,0.010758798106240475,-0.01,True
candidate_L10,stage1_rim_dice_vs_S,0.002186904037242976,-0.02,True
candidate_L10,stage1_cup_dice_vs_S,0.019330692175238084,-0.02,True
candidate_L10,stage2_macro_fg_dice_vs_S,-0.0010246798662338907,-0.01,True
candidate_L10,stage2_rim_dice_vs_S,-0.0027114669991429308,-0.02,True
candidate_L10,stage2_cup_dice_vs_S,0.0006621072666749273,-0.02,True
candidate_E_R1,F_vs_S,0.10108081522998236,0.01,True
candidate_E_R1,stage1_macro_fg_dice_vs_S,0.029040075183256242,-0.01,True
candidate_E_R1,stage1_rim_dice_vs_S,0.023994123531832945,-0.02,True
candidate_E_R1,stage1_cup_dice_vs_S,0.03408602683467954,-0.02,True
candidate_E_R1,stage2_macro_fg_dice_vs_S,-0.05343261263916521,-0.01,False
candidate_E_R1,stage2_rim_dice_vs_S,0.03427029232247514,-0.02,True
candidate_E_R1,stage2_cup_dice_vs_S,-0.14113551760080556,-0.02,False
