case_id,site,unique_labels,voxels_label_1,voxels_label_2,components_label_1,components_label_2,centroid_distance_voxels,overlap_or_adjacency
BMC_Case27,BMC,"[0.0, 1.0, 2.0]",35051,33678,9,1,27.7914,True
BMC_Case28,BMC,"[0.0, 1.0, 2.0]",26653,38355,5,1,26.90878,True
BMC_Case29,BMC,"[0.0, 1.0, 2.0]",39844,143967,3,3,51.12492,True
HK_Case38,HK,"[0.0, 1.0]",82914,0,1,0,,False
HK_Case39,HK,"[0.0, 1.0]",53151,0,1,0,,False
HK_Case40,HK,"[0.0, 1.0]",36560,0,1,0,,False
HK_Case41,HK,"[0.0, 1.0]",24067,0,1,0,,False
HK_Case42,HK,"[0.0, 1.0]",115540,0,1,0,,False
HK_Case43,HK,"[0.0, 1.0]",51832,0,1,0,,False
HK_Case44,HK,"[0.0, 1.0]",37673,0,1,0,,False
HK_Case45,HK,"[0.0, 1.0]",24650,0,1,0,,False
HK_Case46,HK,"[0.0, 1.0]",41405,0,1,0,,False
HK_Case47,HK,"[0.0, 1.0]",34906,0,1,0,,False
HK_Case48,HK,"[0.0, 1.0]",48739,0,1,0,,False
HK_Case49,HK,"[0.0, 1.0]",40408,0,1,0,,False
I2CVB_Case00,I2CVB,"[0.0, 1.0]",173534,0,1,0,,False
I2CVB_Case01,I2CVB,"[0.0, 1.0]",136195,0,1,0,,False
I2CVB_Case02,I2CVB,"[0.0, 1.0]",80843,0,1,0,,False
I2CVB_Case03,I2CVB,"[0.0, 1.0]",84777,0,1,0,,False
I2CVB_Case04,I2CVB,"[0.0, 1.0]",86837,0,1,0,,False
I2CVB_Case05,I2CVB,"[0.0, 1.0]",150567,0,1,0,,False
I2CVB_Case06,I2CVB,"[0.0, 1.0]",91121,0,1,0,,False
I2CVB_Case07,I2CVB,"[0.0, 1.0]",76400,0,1,0,,False
I2CVB_Case08,I2CVB,"[0.0, 1.0]",105703,0,1,0,,False
I2CVB_Case09,I2CVB,"[0.0, 1.0]",287868,0,1,0,,False
I2CVB_Case10,I2CVB,"[0.0, 1.0]",69278,0,1,0,,False
I2CVB_Case11,I2CVB,"[0.0, 1.0]",93384,0,1,0,,False
I2CVB_Case12,I2CVB,"[0.0, 1.0]",87741,0,1,0,,False
I2CVB_Case13,I2CVB,"[0.0, 1.0]",82274,0,1,0,,False
I2CVB_Case14,I2CVB,"[0.0, 1.0]",50546,0,1,0,,False
I2CVB_Case15,I2CVB,"[0.0, 1.0]",130038,0,1,0,,False
I2CVB_Case16,I2CVB,"[0.0, 1.0]",153575,0,1,0,,False
I2CVB_Case17,I2CVB,"[0.0, 1.0]",104801,0,1,0,,False
I2CVB_Case18,I2CVB,"[0.0, 1.0]",87904,0,1,0,,False
RUNMC_Case00,RUNMC,"[0.0, 1.0, 2.0]",8400,38166,1,5,20.28674,True
RUNMC_Case01,RUNMC,"[0.0, 1.0, 2.0]",19747,55169,2,1,24.23661,True
RUNMC_Case02,RUNMC,"[0.0, 1.0, 2.0]",21619,50680,1,1,27.19666,True
RUNMC_Case03,RUNMC,"[0.0, 1.0, 2.0]",18686,64135,1,1,36.88217,True
RUNMC_Case04,RUNMC,"[0.0, 1.0, 2.0]",15234,30735,1,1,24.87348,True
RUNMC_Case05,RUNMC,"[0.0, 1.0, 2.0]",12545,46103,3,1,22.0742,True
RUNMC_Case06,RUNMC,"[0.0, 1.0, 2.0]",6684,10535,1,1,4.43015,True
RUNMC_Case07,RUNMC,"[0.0, 1.0, 2.0]",5466,43329,1,1,23.06704,True
RUNMC_Case08,RUNMC,"[0.0, 1.0, 2.0]",5508,125985,7,1,42.04008,True
RUNMC_Case09,RUNMC,"[0.0, 1.0, 2.0]",23933,24537,1,1,16.16313,True
RUNMC_Case10,RUNMC,"[0.0, 1.0, 2.0]",5284,40430,2,1,28.59192,True
RUNMC_Case11,RUNMC,"[0.0, 1.0, 2.0]",20778,49057,1,4,28.06139,True
RUNMC_Case12,RUNMC,"[0.0, 1.0, 2.0]",19828,91980,3,7,35.64003,True
RUNMC_Case13,RUNMC,"[0.0, 1.0, 2.0]",12950,17274,1,1,14.33806,True
RUNMC_Case14,RUNMC,"[0.0, 1.0, 2.0]",19520,30706,1,1,11.74224,True
RUNMC_Case15,RUNMC,"[0.0, 1.0, 2.0]",13275,47434,1,1,29.34554,True
RUNMC_Case16,RUNMC,"[0.0, 1.0, 2.0]",11910,308546,7,1,62.02097,True
RUNMC_Case17,RUNMC,"[0.0, 1.0, 2.0]",22214,14180,1,1,12.03664,True
RUNMC_Case18,RUNMC,"[0.0, 2.0]",0,106001,0,1,,False
RUNMC_Case19,RUNMC,"[0.0, 1.0, 2.0]",11539,12983,2,2,9.55304,True
RUNMC_Case20,RUNMC,"[0.0, 1.0, 2.0]",14887,81513,2,1,28.56383,True
RUNMC_Case21,RUNMC,"[0.0, 1.0, 2.0]",17553,34477,1,1,23.93692,True
RUNMC_Case22,RUNMC,"[0.0, 1.0, 2.0]",14277,60721,1,1,31.50355,True
RUNMC_Case23,RUNMC,"[0.0, 1.0, 2.0]",5315,103395,2,1,38.22985,True
RUNMC_Case24,RUNMC,"[0.0, 1.0, 2.0]",9258,57966,2,1,27.54758,True
RUNMC_Case25,RUNMC,"[0.0, 1.0, 2.0]",13453,82529,2,1,21.02352,True
RUNMC_Case26,RUNMC,"[0.0, 1.0, 2.0]",26313,50918,2,1,24.90043,True
RUNMC_Case27,RUNMC,"[0.0, 1.0, 2.0]",23084,75053,1,1,37.66121,True
RUNMC_Case28,RUNMC,"[0.0, 1.0, 2.0]",15871,51319,1,1,34.17739,True
RUNMC_Case29,RUNMC,"[0.0, 1.0, 2.0]",22197,17436,2,3,19.27944,True
UCL_Case01,UCL,"[0.0, 1.0]",64432,0,1,0,,False
UCL_Case26,UCL,"[0.0, 1.0]",63057,0,1,0,,False
UCL_Case27,UCL,"[0.0, 1.0]",43173,0,1,0,,False
UCL_Case28,UCL,"[0.0, 1.0]",53945,0,1,0,,False
UCL_Case29,UCL,"[0.0, 1.0]",76722,0,1,0,,False
UCL_Case30,UCL,"[0.0, 1.0]",52967,0,1,0,,False
UCL_Case31,UCL,"[0.0, 1.0]",59548,0,1,0,,False
UCL_Case32,UCL,"[0.0, 1.0]",32366,0,1,0,,False
UCL_Case33,UCL,"[0.0, 1.0]",55254,0,1,0,,False
UCL_Case34,UCL,"[0.0, 1.0]",42348,0,1,0,,False
UCL_Case35,UCL,"[0.0, 1.0]",43753,0,1,0,,False
UCL_Case36,UCL,"[0.0, 1.0]",40683,0,1,0,,False
UCL_Case37,UCL,"[0.0, 1.0]",50390,0,1,0,,False
